Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1,NovaWorks,Influencer,Women 25-34,45 days,YouTube,0.0641,"$13,980.80",4.71,Chicago,Mandarin,413,4828,9,Health & Fitness,01/01/2022
2,Vertex Media,Display,Women 25-34,30 days,Google Ads,0.073,"$5,858.71",6.32,New York,French,726,5712,1,Fashionistas,01/01/2022
3,Crestline Brands,Search,Men 25-34,60 days,YouTube,0.0522,"$3,979.98",5,Miami,Spanish,504,5381,6,Outdoor Adventurers,01/01/2022
4,TechCorp,Display,Men 18-24,30 days,Google Ads,0.0603,$584.50,5.16,Miami,Spanish,547,6249,7,Fashionistas,01/01/2022
5,Alpha Innovations,Search,Men 35-44,30 days,Website,0.0955,"$1,302.94",5.16,Houston,Mandarin,733,6176,1,Tech Enthusiasts,01/01/2022
6,Peak Fitness Co,Social Media,Men 35-44,30 days,Website,0.0627,"$13,217.84",5.01,New York,Mandarin,350,6295,6,Tech Enthusiasts,01/01/2022
7,Alpha Innovations,Influencer,Women 25-34,15 days,Website,0.0714,"$17,684.24",4.38,Los Angeles,French,679,5270,10,Foodies,01/01/2022
8,TechCorp,Display,Men 18-24,60 days,Email,0.0783,$649.32,5.4,New York,German,291,5042,7,Tech Enthusiasts,02/01/2022
9,NovaWorks,Influencer,Women 25-34,45 days,Email,0.0747,"$19,311.36",4.38,New York,Spanish,897,4967,5,Tech Enthusiasts,02/01/2022
10,NovaWorks,Social Media,Women 25-34,60 days,YouTube,0.0774,"$18,970.14",5.01,Miami,English,763,6110,2,Fashionistas,02/01/2022
11,NovaWorks,Display,Women 18-24,60 days,Email,0.0594,"$16,249.44",5.25,Houston,German,346,5029,9,Foodies,02/01/2022
12,Peak Fitness Co,Email,Women 18-24,60 days,Website,0.071,"$4,121.16",4.56,Houston,English,874,4515,10,Health & Fitness,02/01/2022
13,NovaWorks,Influencer,Women 35-44,60 days,Instagram,0.0801,"$14,465.91",5.73,Los Angeles,Spanish,361,5988,10,Fashionistas,02/01/2022
14,TechCorp,Search,Men 18-24,30 days,YouTube,0.0726,"$19,430.76",4.84,Chicago,Mandarin,752,6251,6,Foodies,02/01/2022
15,Peak Fitness Co,Influencer,Women 35-44,30 days,Google Ads,0.0771,"$5,260.75",3.87,Houston,Spanish,302,5435,7,Health & Fitness,02/01/2022
16,NovaWorks,Email,All Ages,45 days,Email,0.051,"$8,550.21",5.43,Los Angeles,French,333,6150,8,Tech Enthusiasts,02/01/2022
17,Alpha Innovations,Search,Women 18-24,15 days,Google Ads,0.0598,"$8,556.87",4.4,Houston,German,604,5505,9,Tech Enthusiasts,02/01/2022
18,NovaWorks,Social Media,Women 25-34,60 days,YouTube,0.0838,"$5,076.40",4.72,Los Angeles,English,315,6367,7,Foodies,03/01/2022
19,NovaWorks,Search,Women 18-24,45 days,Instagram,0.0503,"$2,175.81",5.36,Miami,Mandarin,587,5159,5,Outdoor Adventurers,03/01/2022
20,NovaWorks,Social Media,Women 18-24,45 days,Website,0.0405,$597.47,4.97,Chicago,Spanish,830,4895,10,Foodies,03/01/2022
21,Peak Fitness Co,Display,Men 35-44,45 days,Instagram,0.081,"$17,639.57",5.41,Los Angeles,Mandarin,677,6428,6,Outdoor Adventurers,03/01/2022
22,Bright Retail,Email,Women 18-24,15 days,Website,0.0719,"$19,584.61",4.96,Chicago,English,641,5464,6,Health & Fitness,03/01/2022
23,Bright Retail,Social Media,Men 25-34,45 days,Website,0.1003,"$7,757.14",4.97,Miami,Spanish,436,5850,7,Foodies,03/01/2022
24,Vertex Media,Search,Women 25-34,15 days,Website,0.0596,"$5,325.87",5.77,New York,French,765,5156,7,Foodies,03/01/2022
25,TechCorp,Search,Women 35-44,15 days,Website,0.0744,"$10,858.81",3.87,Chicago,English,849,5979,4,Outdoor Adventurers,03/01/2022
26,TechCorp,Social Media,Women 35-44,45 days,YouTube,0.0799,"$10,403.33",5.23,Miami,English,572,4728,9,Health & Fitness,03/01/2022
27,Crestline Brands,Search,Men 18-24,30 days,Instagram,0.0866,"$9,672.81",4.38,Los Angeles,English,316,5681,6,Foodies,03/01/2022
28,TechCorp,Influencer,Men 35-44,15 days,Email,0.0806,"$4,799.35",5.13,Houston,French,855,6390,7,Health & Fitness,03/01/2022
29,Vertex Media,Social Media,Men 18-24,60 days,Google Ads,0.0588,"$3,040.51",3.16,New York,French,694,5982,9,Foodies,03/01/2022
30,TechCorp,Search,Women 18-24,15 days,Google Ads,0.0655,"$12,874.25",5.74,New York,French,736,6168,2,Fashionistas,04/01/2022
31,Vertex Media,Influencer,Men 35-44,15 days,Instagram,0.0916,"$2,354.21",4.91,Miami,French,222,4999,3,Health & Fitness,04/01/2022
32,Bright Retail,Email,Men 35-44,60 days,Email,0.0723,"$17,329.21",5.6,Miami,Mandarin,774,4815,10,Foodies,04/01/2022
33,Alpha Innovations,Influencer,Women 18-24,30 days,Website,0.0654,"$2,031.65",5.57,Los Angeles,Mandarin,453,6074,,Tech Enthusiasts,04/01/2022
34,Vertex Media,Social Media,All Ages,60 days,Instagram,0.0656,"$3,300.72",5.44,Los Angeles,French,676,5596,7,Tech Enthusiasts,04/01/2022
35,NovaWorks,Display,Women 35-44,30 days,Google Ads,0.0601,"$5,027.37",4.87,Chicago,English,240,4915,1,Health & Fitness,04/01/2022
36,Bright Retail,Social Media,Men 25-34,60 days,YouTube,0.0676,"$3,448.97",5.4,Chicago,German,351,5865,7,Foodies,04/01/2022
37,Alpha Innovations,Influencer,Women 18-24,60 days,YouTube,0.0877,"$8,925.52",4.17,Miami,Mandarin,618,5931,,Foodies,04/01/2022
38,NovaWorks,Display,Men 18-24,45 days,Instagram,0.0541,"$16,367.80",5.75,Houston,Spanish,856,5185,3,Tech Enthusiasts,04/01/2022
39,Crestline Brands,Display,Men 18-24,45 days,Instagram,0.0655,"$8,729.91",5.13,Los Angeles,Mandarin,769,6316,6,Outdoor Adventurers,04/01/2022
40,Bright Retail,Influencer,All Ages,30 days,Google Ads,0.0441,"$4,429.51",5.49,Chicago,French,323,5916,1,Tech Enthusiasts,04/01/2022
41,TechCorp,Social Media,Women 35-44,45 days,Website,0.0506,"$2,942.62",4.93,Chicago,German,753,6329,3,Outdoor Adventurers,04/01/2022
42,Vertex Media,Influencer,Women 18-24,30 days,Email,0.0709,"$14,833.39",4.19,Houston,German,684,6371,6,Fashionistas,05/01/2022
43,TechCorp,Display,Men 18-24,15 days,Google Ads,0.0655,"$11,815.76",4.68,Chicago,French,364,5939,4,Health & Fitness,05/01/2022
44,NovaWorks,Search,Men 25-34,45 days,Google Ads,0.071,"$18,334.35",4.75,New York,German,335,4557,1,Outdoor Adventurers,05/01/2022
45,NovaWorks,Email,Women 35-44,45 days,Website,0.0585,"$15,002.93",5.4,Houston,French,882,4886,8,Health & Fitness,05/01/2022
46,Bright Retail,Social Media,Women 25-34,30 days,Instagram,0.0647,"$4,571.72",4.37,Los Angeles,French,418,5002,6,Outdoor Adventurers,05/01/2022
47,Vertex Media,Email,Women 35-44,60 days,Website,0.0675,"$1,528.64",5.18,Houston,French,372,4673,9,Tech Enthusiasts,05/01/2022
48,TechCorp,Social Media,Men 35-44,60 days,Website,0.0832,"$14,856.20",5.46,Houston,Spanish,763,4923,4,Tech Enthusiasts,05/01/2022
49,Peak Fitness Co,Display,Women 35-44,60 days,Email,0.0751,"$6,463.59",4.95,Houston,Mandarin,557,6146,7,Tech Enthusiasts,05/01/2022
50,NovaWorks,Influencer,All Ages,60 days,Email,0.0623,"$4,381.34",4.92,Chicago,Spanish,512,5707,5,Foodies,05/01/2022
